# Created by Octave 4.2.1, Fri Mar 10 19:58:36 2017 +0545 <manish@localhost>
# name: D
# type: matrix
# rows: 100
# columns: 2
 19.73259577353157 79.26017115649894
 19.9279964655973 79.5059637661076
 18.39754239634976 84.47240344154747
 16.07008166201854 82.16974186055316
 29.24550242769888 79.90381607222726
 16.41328717314623 77.61917551222851
 7.326783799074423 78.50564189130138
 23.34382121775189 81.86103889115289
 15.50708041637167 76.98085187560669
 28.40497649251888 76.00285566526823
 54.48208733060399 90.93753823522684
 50.14231492817922 93.10749543519704
 48.8818027161072 93.64494550953164
 45.89406052373865 92.64905792472638
 53.75025893463224 93.80533296457318
 48.93250537339021 92.09244387364897
 55.54045489149895 95.58816743331258
 49.69406020453809 78.26821605141473
 47.59004313449929 93.63131289957984
 50.09422369826112 101.9993451012369
 73.25335070163578 80.53479254650257
 80.68243310063033 79.34525612146625
 82.95337455342526 74.90066882067836
 81.72009543317725 72.76870738134475
 85.28337134227588 78.85144034372343
 80.07404994804114 90.25868859739587
 81.52293228184286 83.8284638660575
 86.32717046889958 89.17863695837526
 73.82188629951111 74.63517687460933
 37.85463346127555 46.65532622110963
 27.16060017855854 52.33883246562991
 24.96450754894405 50.74585602550936
 28.6852021874441 45.95502561017329
 24.5564282953662 48.54292409169497
 19.92231902555499 49.78243501722591
 21.68457788729092 57.92188095397009
 24.48885942312975 53.12480218555345
 29.74174183358493 48.50527646700628
 22.58763537171028 53.57604787724556
 23.04236389310439 47.81756558223564
 43.00020089916388 67.81899524415907
 42.2659670979949 70.60292093655117
 54.59691756737411 62.97353980568113
 44.04736077461715 64.47492680079674
 45.39727680246257 66.70663699235386
 50.08959478888915 60.81717623770844
 49.24545268287611 60.14279952294459
 42.86033971970289 59.87768222312384
 53.53381931706188 60.59629530470298
 47.33269727412475 67.78079910096758
 67.30962595269922 58.0419913595242
 70.93513592947204 49.21036806517217
 63.53106998930664 48.81281778593094
 68.62468806376866 52.95391832723013
 69.17995442885011 51.01911321159555
 68.26837352124623 50.58453482244894
 65.44115755085909 48.14364255441195
 65.63235573933436 53.43322196012864
 11.57907804949532 10.68555866647364
 14.45760790111588 10.53431768666597
 17.60014088542929 17.48375114422445
 20.95218809160789 23.86777190446741
 18.99641964867443 8.163865077795325
 16.28640679912161 31.70332574643826
 26.24810177390493 18.06458170158201
 11.59428439183608 16.64227112851825
 13.17798998363874 13.3695083777696
 31.43212895562033 17.75330306906477
 50.0611030265938 44.15292287411907
 46.17805777383985 43.28167800619448
 46.27409121802822 39.65752838365467
 46.41694629704665 36.04989288600519
 45.91673465676346 44.11952623116149
 43.38554349619065 35.91615872591414
 41.90984230523588 41.7009822127753
 49.14664529904404 34.82702869842004
 46.390074025806 42.82565943874319
 75.22809796328414 28.99178504812999
 84.22707407325071 28.30032309686385
 70.02602193853679 28.21104059619601
 81.59817312957273 24.48962557237731
 75.78197246586915 24.39414380624749
 88.08728413768171 31.71232322512737
 78.16025956352452 35.53501870296964
 79.82462610582952 30.44194581889057
 82.16997837288551 34.62320967621143
 82.52410892116809 23.10966640916723
 56.53281326339751 14.35711392700833
 62.64304854201944 17.71724998680042
 46.0627479448939 20.58692951715696
 57.8828891249394 8.206413144944525
 54.47122533199183 19.84711210108296
 53.02689583655554 13.24576857116658
 60.55783742209236 18.16175167315126
 47.14517447481538 16.97157920013899
 34.90816142964036 6.357474545308165
 46.82680714284098 0.05240616959816258
 60.03725470287829 12.2148188362963
 58.48194358423031 19.08538182659041
 53.69282139959701 9.330979163871628


